Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,HE,100,92,0,0,0,False,True,True,233.4375,5.273438
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,HE,100,92,0,0,0,False,True,True,233.4375,5.273438
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,HE,100,92,0,0,0,False,True,True,233.4375,5.273438
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,HE,100,92,0,0,0,False,True,True,233.4375,5.273438
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,HE,100,92,0,0,0,False,True,True,233.4375,5.273438
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,HE,100,92,0,0,0,False,True,True,233.4375,5.273438
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,HE,100,92,0,0,0,False,True,True,233.4375,5.273438
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,HE,100,92,0,0,0,False,True,True,233.4375,5.273438
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,HE,100,92,0,0,0,False,True,True,233.4375,5.273438
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,HE,100,92,0,0,0,False,True,True,233.4375,5.273438
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,HE,100,92,0,0,0,False,True,True,233.4375,5.273438
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,HE,100,92,0,0,0,False,True,True,233.4375,5.273438
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,HE,100,92,0,0,0,False,True,True,233.4375,5.273438
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,HE,100,92,0,0,0,False,True,True,233.4375,5.273438
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,HE,100,92,0,0,0,False,True,True,233.4375,5.273438
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,HE,100,92,0,0,0,False,True,True,233.4375,5.273438
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,HE,100,92,0,0,0,False,True,True,233.4375,5.273438
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,HE,100,92,0,0,0,False,True,True,233.4375,5.273438
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,HE,100,92,0,0,0,False,True,True,233.4375,5.273438
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,HE,100,92,0,0,0,False,True,True,233.4375,5.273438
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,HE,100,92,0,0,0,False,True,True,233.4375,5.273438
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,HE,100,92,0,0,0,False,True,True,233.4375,5.273438
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,HE,100,92,0,0,0,False,True,True,233.4375,5.273438
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,HE,100,92,0,0,0,False,True,True,233.4375,5.273438
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,HE,100,92,0,0,0,False,True,True,233.4375,5.273438
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,HE,100,92,0,0,0,False,True,True,233.4375,5.273438
