Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,114.6094,11.25
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,114.6094,11.25
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,114.6094,11.25
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,114.6094,11.25
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,114.6094,11.25
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,114.6094,11.25
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,114.6094,11.25
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,114.6094,11.25
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,114.6094,11.25
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,114.6094,11.25
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,114.6094,11.25
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,114.6094,11.25
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,114.6094,11.25
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,114.6094,11.25
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,114.6094,11.25
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,114.6094,11.25
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,114.6094,11.25
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,114.6094,11.25
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,114.6094,11.25
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,114.6094,11.25
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,114.6094,11.25
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,114.6094,11.25
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,114.6094,11.25
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,114.6094,11.25
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,114.6094,11.25
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,114.6094,11.25
