Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,125.1563,1.40625
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,125.1563,1.40625
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,125.1563,1.40625
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,125.1563,1.40625
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,125.1563,1.40625
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,125.1563,1.40625
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,125.1563,1.40625
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,125.1563,1.40625
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,125.1563,1.40625
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,125.1563,1.40625
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,125.1563,1.40625
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,125.1563,1.40625
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,125.1563,1.40625
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,125.1563,1.40625
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,125.1563,1.40625
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,125.1563,1.40625
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,124.4531,1.40625
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,124.4531,1.757813
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,124.4531,1.757813
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,124.4531,1.757813
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,124.1016,1.757813
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,124.1016,1.757813
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,124.1016,1.757813
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,124.1016,1.757813
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,123.75,1.757813
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,123.75,1.757813
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,123.75,1.757813
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,123.75,1.757813
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,123.75,1.757813
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,123.75,1.757813
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,123.75,1.757813
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,123.75,1.757813
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,123.75,1.757813
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,123.75,1.757813
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,123.75,1.757813
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,123.75,1.757813
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,123.75,1.757813
