Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,M4A1,100,98,0,0,0,False,True,True,134.6484,1.054688
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,M4A1,100,98,0,0,0,False,True,True,134.6484,1.054688
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Knife,100,98,0,0,0,False,True,True,134.6484,1.054688
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Knife,100,98,0,0,0,False,True,True,134.6484,1.054688
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Knife,100,98,0,0,0,False,True,True,134.6484,1.054688
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Knife,100,98,0,0,0,False,True,True,134.2969,1.054688
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Knife,100,98,0,0,0,False,True,True,134.6484,0.703125
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Knife,100,98,0,0,0,False,True,True,134.6484,0.703125
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,HE,100,98,0,0,0,False,True,True,134.2969,0.703125
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,HE,100,98,0,0,0,False,True,True,133.9453,0.3515625
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,HE,100,98,0,0,0,False,True,True,133.9453,0.3515625
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,HE,100,98,0,0,0,False,True,True,133.9453,0.703125
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,HE,100,98,0,0,0,False,True,True,133.2422,1.757813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,HE,100,98,0,0,0,False,True,True,133.2422,1.757813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,HE,100,98,0,0,0,False,True,True,133.2422,1.757813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,HE,100,98,0,0,0,False,True,True,133.2422,1.757813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,HE,100,98,0,0,0,True,True,True,133.2422,1.40625
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,HE,100,98,0,0,0,True,True,True,133.2422,1.054688
